"CNRSMH_E_1972_014_001_001_08", "LIK" "x" "CNRSMH_E_1972_014_001_001_08_E.txt" "CNRSMH_E_1972_014_001_001_08_E.mp4" "Los Onas - Vida y Muerte en Tierra del Fuego - De Anne Chapman - (1977) " "Chant Chamanique (n°8)" "Selk'nam (Ona) Chants of Tierra del Fuego, Argentina" "Lola Kiepja / Selk'nam (Ona)" "1966" "Argentina";
"los corazas, carlos bonilla, gonzalo castro - sortilege de la flute equatorienne - 10 - carvana indigena", "LIK" "los corazas, carlos bonilla, gonzalo castro - sortilege de la flute equatorienne - 10 - carvana indigena_E.jpg" "x" "x" "x" "carvana indigena" "sortilege de la flute equatorienne" "carlos bonilla" "1975" "Ecuador";
"gerardo servin - sortilege de la harpe des andes - 08 - chacareando", "LIK" "x" "x" "x" "x" "chacareando" "sortilege de la harpe des andes" "gerardo servin" "1969" "Paraguay";
"Facio Santillan-Sortilegio de la flauta de Los Andes-Volumen 1-03-La vieja chacarera", "LIK" "Facio Santillan-Sortilegio de la flauta de Los Andes-Volumen 1-03-La vieja chacarera_E.jpg" "x" "x" "x" "La vieja chacarera" "Sortilegio, vol. 1" "Facio Santillán" "1969" "Argentina";
"13 - Luzmila Carpio - Ch'uwa Yaku Kawsaypuni", "LIK" "x" "x" "x" "x" "Ch'uwa Yaku Kawsaypuni (El Agua Cristalina Es Vida)" "Lo mejor de Luzmila Carpio. cantos quechua-aymaras de los andes" "Luzmila Carpio" "2013" "Bolivia";
"viracocha - 08 - tupac amaru", "LIK" "viracocha - 08 - tupac amaru_E.jpg" "x" "x" "x" "tupac amaru" "viracocha" "Habitantes de Paucartambo" "1972" "Peru";
"La Mechuda", "LIK" "x" "x" "x" "x" "La Mechuda" "Yo me he Criao a Puro Campo" "Atahualpa Yupanqui" "1971" "Argentina";
"ze' cupido e sua sanfona de oito baixos - 11 - frevo de ze'", "LIK" "ze' cupido e sua sanfona de oito baixos - 11 - frevo de ze'_E.jpg" "x" "x" "x" "frevo de ze'" "ze' cupido e sua sanfona de oito baixos" "ze' cupido" "1972" "Brasil";
"01 - Teals Descending on the Level Sand", "Yesu Wane Entrance" "x" "x" "x" "x" "Teals Descending on the Level Sand" "Lost Sounds of the Tao" "Lo Ka Ping" "1970" "China";
"01.Shunkan", "Yesu Wane Entrance" "x" "x" "x" "x" "Shunkan" "Biwa, The World of Tsuruta Kin" "Mochizuki/Ako/Tsuruta Kinshi" "1995" ;
"02. Amale Sodhlin Kha I Chora Bhanlin", "Yesu Wane Entrance" "x" "x" "x" "x" "Amale Sodhlin Kha I Chora Bhan" "Folk Music Of Nepal" "VA" "1994" ;
"02. Entrance of Rama and Sitha; Rama chases the golden deer", "Yesu Wane Entrance" "x" "x" "x" "x" "Entrance of Rama and Sitha" "Kecak and Sanghyang of Bali" "VA" "1992" "Kicc_musica del mundo";
"05 - T.M. Sounderarajan - Mannanalum Thiruchenduril", "Yesu Wane Entrance" "x" "x" "x" "x" "Mannanalum Thiruchenduril" "I Left Her Standing There [Tristes Humanistes]" "T.M. Sounderarajan" "null" ;
"05 Mood Indigo", "Yesu Wane Entrance" "x" "x" "x" "x" "Mood Indigo" "Vol. I: Evening In The Islands" "Essential Resophonics" "2003" "Hawaii";
"05 Seance In The Sixth Fret", "Yesu Wane Entrance" "x" "x" "x" "x" "Seance In The Sixth Fret" "Exuma" "Exuma" "1970" "Folk Bahamas";
"05 edward", "Yesu Wane Entrance" "x" "x" "x" "x" "Edward" "American Folk & Gambling Songs" "John Jacob Niles" "1956" "Folk";
"06 Yesu Ka Mkwebaze", "Yesu Wane Entrance" "x" "x" "x" "x" "Yesu Ka Mkwebaze" "Lipa Kodi Ya City Council" "Noviciat De Soeurs Missionaires" "1967" "Other";
"07. Wane Tela Jila Thau Kalaya Tha Che", "Yesu Wane Entrance" "x" "x" "x" "x" "Wane Tela Jila Thau Kalaya Tha" "Folk Music Of Nepal" "VA" "1994" "Kicc_musica del mundo";
"08 Alpufzug-1", "Yesu Wane Entrance" "x" "x" "x" "x" "Alpufzug" "Brass Pins And Match Heads: International 78s" "Jodlerklub Thun" "null" ;
"09 - Claude Vinh San et le Jazz Tropical - Maloya", "Yesu Wane Entrance" "x" "x" "x" "x" "Maloya" "End Of The World Party" "Claude Vinh San et le Jazz Tropical" "1970" "Other";
"09 Akazehe par une jeune fille", "Yesu Wane Entrance" "x" "x" "x" "x" "Akazehe par une jeune fille" "[ocora] Burundi: Musiques Traditionnelles" "Various Artists" "1967" "ocora label";
"10. Stroudwater - Psalm 46 vv. 1 & 2", "Yesu Wane Entrance" "x" "x" "x" "x" "Stroudwater - Psalm 46 vv. 1 & 2" "Eileen Aroon c120" "Donald MacLeod & Congregation" "1975" "Autumnal";
"A2 Partido Alto", "Yesu Wane Entrance" "x" "x" "x" "x" "Partido Alto" "Batucada No. 3 The Exciting Rhythm of the Wild Brazilian Carnival" "Escola de Samba da Cidade" "null" ;
"B1 Raga Multani - Alap - Dhamar in Dhamar Tal 27'30", "Yesu Wane Entrance" "x" "x" "x" "x" "Raga Multani Alap" "musiques de l´asie traditionelle vol 9. Inde du nord" "Dhrupad et dhamar" "1977" "Other";
